index,codec,type,preset,threads,gop,has_b_frames,refs,fI,fP,fB,fT,ref_name,ref_type,infile_option,outfile_filename,outfile_size_kbyte,outfile_bit_rate_kbs,outfile_options,enc_sec,enc_time,comp_ratio_persent,enc_speed,ssim_min,ssim_mean,vmaf_min,vmaf_mean
0,h264_qsv,LA_ICQ,veryslow,4,256,2,3,15,899,2683,3597,ABBB,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/h264_qsv-custom-la_icq-bf-refs/7a72c7923154,128279.755859375,8550.55859375,-global_quality 25 -look_ahead 1,12.055824041366577,00:00:12,0.5221180779656265,9.95535432403302,0.987651,0.995792,77.39675,96.58858
1,h264_qsv,LA_ICQ,veryslow,4,256,2,3,15,899,2682,3596,ASintel,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/h264_qsv-custom-la_icq-bf-refs/ecd17ccb2e46,44849.0224609375,2990.283203125,-global_quality 25 -look_ahead 1,12.144157648086548,00:00:12,0.79437052414451,9.880141832554783,0.989603,0.996398,81.286399,94.023419
2,h264_qsv,LA_ICQ,veryslow,4,256,2,3,15,899,2682,3596,AToS,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/h264_qsv-custom-la_icq-bf-refs/2140dc297317,66951.9384765625,4463.982421875,-global_quality 25 -look_ahead 1,12.111808776855469,00:00:12,0.7496318873485962,9.906530247511999,0.985465,0.997107,87.429436,96.522291
3,h264_qsv,LA_ICQ,veryslow,4,256,2,3,15,899,2682,3596,NAir,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/h264_qsv-custom-la_icq-bf-refs/812ef2e46fe7,31144.263671875,2076.5263671875,-global_quality 25 -look_ahead 1,11.163124084472656,00:00:11,0.8177674971219222,10.748424821945184,0.991301,0.995956,83.722144,92.038305
4,h264_qsv,LA_ICQ,veryslow,4,256,2,3,15,899,2682,3596,NArmy,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/h264_qsv-custom-la_icq-bf-refs/1e8a38456469,163681.6123046875,10913.3798828125,-global_quality 25 -look_ahead 1,11.675323724746704,00:00:11,0.3782700050720653,10.276888489668247,0.988797,0.996631,86.403926,94.150907
5,h264_qsv,LA_ICQ,veryslow,4,256,2,3,15,899,2682,3596,NNavy,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/h264_qsv-custom-la_icq-bf-refs/5e31f19eaad0,137195.0791015625,9147.4052734375,-global_quality 25 -look_ahead 1,11.339524984359741,00:00:11,0.47840123826527026,10.58121924555861,0.990929,0.996647,84.325397,94.556865
6,h264_qsv,LA_ICQ,veryslow,4,256,2,3,15,899,2683,3597,ABBB,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/h264_qsv-custom-la_icq-bf-refs/b7b2f9dcf6bc,128279.755859375,8550.55859375,-global_quality 25 -look_ahead 1 -g 256,12.043658018112183,00:00:12,0.5221180779656265,9.965410826138093,0.987651,0.995792,77.39675,96.58858
7,h264_qsv,LA_ICQ,veryslow,4,256,2,3,15,899,2682,3596,ASintel,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/h264_qsv-custom-la_icq-bf-refs/feab6f69bba0,44849.0224609375,2990.283203125,-global_quality 25 -look_ahead 1 -g 256,12.142854928970337,00:00:12,0.79437052414451,9.881201801541602,0.989603,0.996398,81.286399,94.023419
8,h264_qsv,LA_ICQ,veryslow,4,256,2,3,15,899,2682,3596,AToS,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/h264_qsv-custom-la_icq-bf-refs/19330d05fdce,66951.9384765625,4463.982421875,-global_quality 25 -look_ahead 1 -g 256,12.11027193069458,00:00:12,0.7496318873485962,9.907787429271892,0.985465,0.997107,87.429436,96.522291
9,h264_qsv,LA_ICQ,veryslow,4,256,2,3,15,899,2682,3596,NAir,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/h264_qsv-custom-la_icq-bf-refs/00fa54540874,31144.263671875,2076.5263671875,-global_quality 25 -look_ahead 1 -g 256,11.175244092941284,00:00:11,0.8177674971219222,10.73676771640163,0.991301,0.995956,83.722144,92.038305
