index,codec,type,preset,threads,gop,has_b_frames,refs,fI,fP,fB,fT,ref_name,ref_type,infile_option,outfile_filename,outfile_size_kbyte,outfile_bit_rate_kbs,outfile_options,enc_sec,enc_time,comp_ratio_persent,enc_speed,ssim_min,ssim_mean,vmaf_min,vmaf_mean
0,h264_qsv,LA_ICQ,veryslow,4,256,2,3,15,899,2683,3597,ABBB,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/h264_qsv-custom-la_icq-dblk_idc/7a72c7923154,128279.755859375,8550.55859375,-global_quality 25 -look_ahead 1,12.04464054107666,00:00:12,0.5221180779656265,9.96459791312888,0.987651,0.995792,77.39675,96.58858
1,h264_qsv,LA_ICQ,veryslow,4,256,2,3,15,899,2682,3596,ASintel,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/h264_qsv-custom-la_icq-dblk_idc/ecd17ccb2e46,44849.0224609375,2990.283203125,-global_quality 25 -look_ahead 1,12.142072916030884,00:00:12,0.79437052414451,9.881838202567982,0.989603,0.996398,81.286399,94.023419
2,h264_qsv,LA_ICQ,veryslow,4,256,2,3,15,899,2682,3596,AToS,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/h264_qsv-custom-la_icq-dblk_idc/2140dc297317,66951.9384765625,4463.982421875,-global_quality 25 -look_ahead 1,12.113736152648926,00:00:12,0.7496318873485962,9.904954052822301,0.985465,0.997107,87.429436,96.522291
3,h264_qsv,LA_ICQ,veryslow,4,256,2,3,15,899,2682,3596,NAir,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/h264_qsv-custom-la_icq-dblk_idc/812ef2e46fe7,31144.263671875,2076.5263671875,-global_quality 25 -look_ahead 1,11.164792537689209,00:00:11,0.8177674971219222,10.746818590221082,0.991301,0.995956,83.722144,92.038305
4,h264_qsv,LA_ICQ,veryslow,4,256,2,3,15,899,2682,3596,NArmy,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/h264_qsv-custom-la_icq-dblk_idc/1e8a38456469,163681.6123046875,10913.3798828125,-global_quality 25 -look_ahead 1,11.663374185562134,00:00:11,0.3782700050720653,10.287417525241397,0.988797,0.996631,86.403926,94.150907
5,h264_qsv,LA_ICQ,veryslow,4,256,2,3,15,899,2682,3596,NNavy,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/h264_qsv-custom-la_icq-dblk_idc/5e31f19eaad0,137195.0791015625,9147.4052734375,-global_quality 25 -look_ahead 1,11.34894585609436,00:00:11,0.47840123826527026,10.572435671244987,0.990929,0.996647,84.325397,94.556865
6,h264_qsv,LA_ICQ,veryslow,4,256,2,3,15,899,2683,3597,ABBB,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/h264_qsv-custom-la_icq-dblk_idc/94b8e91798c1,128279.755859375,8550.55859375,-global_quality 25 -look_ahead 1 -dblk_idc 0,12.043379783630371,00:00:12,0.5221180779656265,9.96564105394516,0.987651,0.995792,77.39675,96.58858
7,h264_qsv,LA_ICQ,veryslow,4,256,2,3,15,899,2682,3596,ASintel,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/h264_qsv-custom-la_icq-dblk_idc/940ad52336ad,44849.0224609375,2990.283203125,-global_quality 25 -look_ahead 1 -dblk_idc 0,12.263454675674438,00:00:12,0.79437052414451,9.784029310925087,0.989603,0.996398,81.286399,94.023419
8,h264_qsv,LA_ICQ,veryslow,4,256,2,3,15,899,2682,3596,AToS,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/h264_qsv-custom-la_icq-dblk_idc/fcb49aa70a27,66951.9384765625,4463.982421875,-global_quality 25 -look_ahead 1 -dblk_idc 0,12.104559898376465,00:00:12,0.7496318873485962,9.912462824533854,0.985465,0.997107,87.429436,96.522291
9,h264_qsv,LA_ICQ,veryslow,4,256,2,3,15,899,2682,3596,NAir,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/h264_qsv-custom-la_icq-dblk_idc/575a881184f4,31144.263671875,2076.5263671875,-global_quality 25 -look_ahead 1 -dblk_idc 0,11.17964482307434,00:00:11,0.8177674971219222,10.732541319412373,0.991301,0.995956,83.722144,92.038305
