index,codec,type,preset,threads,gop,has_b_frames,refs,fI,fP,fB,fT,outfile_size_kbyte,outfile_bit_rate_kbs,outfile_options,enc_sec,comp_ratio_persent,enc_speed,ssim_min,ssim_mean,vmaf_min,vmaf_mean
0,h264_qsv,LA_ICQ,veryslow,4,256,2,3,15,899,2683,3597,95350.27864583333,6357.022623697917,-global_quality 25 -look_ahead 1 -look_ahead_depth 60 -look_ahead_downsampling 4x,11.755566875139872,0.6234265383196651,10.218191375194435,0.9889576666666665,0.9964218333333333,83.42734200000001,94.64672783333333
1,h264_qsv,LA_ICQ,veryslow,4,256,2,3,15,899,2683,3597,95350.27864583333,6357.022623697917,-global_quality 25 -look_ahead 1 -look_ahead_depth 100,11.7540762424469,0.6234265383196651,10.219668634460584,0.9889576666666665,0.9964218333333333,83.42734200000001,94.64672783333333
2,h264_qsv,LA_ICQ,veryslow,4,256,2,3,15,899,2683,3597,95350.27864583333,6357.022623697917,-global_quality 25 -look_ahead 1 -look_ahead_depth 10,11.753288388252258,0.6234265383196651,10.220646396213796,0.9889576666666665,0.9964218333333333,83.42734200000001,94.64672783333333
3,h264_qsv,LA_ICQ,veryslow,4,256,2,3,15,899,2683,3597,95350.27864583333,6357.022623697917,-global_quality 25 -look_ahead 1,11.750369429588318,0.6234265383196651,10.222820043532701,0.9889576666666665,0.9964218333333333,83.42734200000001,94.64672783333333
4,h264_qsv,LA_ICQ,veryslow,4,256,2,3,15,899,2683,3597,95350.27864583333,6357.022623697917,-global_quality 25 -look_ahead 1 -look_ahead_depth 90,11.75049920876821,0.6234265383196651,10.222787044925548,0.9889576666666665,0.9964218333333333,83.42734200000001,94.64672783333333
5,h264_qsv,LA_ICQ,veryslow,4,256,2,3,15,899,2683,3597,95350.27864583333,6357.022623697917,-global_quality 25 -look_ahead 1 -look_ahead_depth 60 -look_ahead_downsampling off,11.756707111994425,0.6234265383196651,10.21701622186594,0.9889576666666665,0.9964218333333333,83.42734200000001,94.64672783333333
6,h264_qsv,LA_ICQ,veryslow,4,256,2,3,15,899,2683,3597,95350.27864583333,6357.022623697917,-global_quality 25 -look_ahead 1 -look_ahead_depth 60,11.746753215789795,0.6234265383196651,10.225886510595714,0.9889576666666665,0.9964218333333333,83.42734200000001,94.64672783333333
7,h264_qsv,LA_ICQ,veryslow,4,256,2,3,15,899,2683,3597,95350.27864583333,6357.022623697917,-global_quality 25 -look_ahead 1 -look_ahead_depth 0,11.748440861701965,0.6234265383196651,10.224476572313511,0.9889576666666665,0.9964218333333333,83.42734200000001,94.64672783333333
8,h264_qsv,LA_ICQ,veryslow,4,256,2,3,15,899,2683,3597,95350.27864583333,6357.022623697917,-global_quality 25 -look_ahead 1 -look_ahead_depth 30,11.748675346374512,0.6234265383196651,10.224146946274407,0.9889576666666665,0.9964218333333333,83.42734200000001,94.64672783333333
9,h264_qsv,LA_ICQ,veryslow,4,256,2,3,15,899,2683,3597,95350.27864583333,6357.022623697917,-global_quality 25 -look_ahead 1 -look_ahead_depth 60 -look_ahead_downsampling 2x,11.755892395973206,0.6234265383196651,10.217756780755543,0.9889576666666665,0.9964218333333333,83.42734200000001,94.64672783333333
10,h264_qsv,LA_ICQ,veryslow,4,256,2,3,15,899,2683,3597,95350.27864583333,6357.022623697917,-global_quality 25 -look_ahead 1 -look_ahead_depth 60 -look_ahead_downsampling unknown,11.745536049207052,0.6234265383196651,10.227084259740453,0.9889576666666665,0.9964218333333333,83.42734200000001,94.64672783333333
11,h264_qsv,LA_ICQ,veryslow,4,256,2,3,15,899,2683,3597,95350.27864583333,6357.022623697917,-global_quality 25 -look_ahead 1 -look_ahead_depth 60 -look_ahead_downsampling auto,11.750595053037008,0.6234265383196651,10.222449283814209,0.9889576666666665,0.9964218333333333,83.42734200000001,94.64672783333333
